x,y,slope,cplan,cprof,norm_elev,log10_carea,landslides
713417.7,9557847,41.797279,0.030601407,-0.007194211,0.868822939,3.009616,0
713417.7,9558997,32.856274,-0.01943912,0.003692412,0.765979166,3.070785,0
713414,9558073,42.803726,0.021874888,0.01156268,1,2.350964,1
713413.5,9558166,36.531563,-0.005597896,0.005033038,0.983183637,2.4034,1
713413.5,9558315,50.427013,0.007341694,0.002176126,0.851937512,2.491125,1
713407.7,9557847,40.494129,0.023448493,0.004169982,0.855180174,3.028551,0
713407.7,9558817,28.205225,0.032045923,0.007598214,0.761884147,2.491723,0
713407.7,9560307,37.454094,-0.013329108,0.009671087,0.204454492,3.643556,0
713407.7,9559647,27.072145,-0.094935216,-0.0242432,0.538408282,3.907963,0
713407.7,9560307,37.454094,-0.013329108,0.009671087,0.204454492,3.643556,0
713407.7,9559647,27.072145,-0.094935216,-0.0242432,0.538408282,3.907963,0
713407.7,9560527,24.488205,0.010535901,-0.005575582,0.055649139,2.613879,0
713397.7,9559977,12.314713,-0.327934623,-0.0420499,0.200019203,5.320002,0
713397.7,9560637,38.340279,0.010934598,0.008899064,0.022203393,3.008394,0
713397.7,9560677,43.680279,0.012212137,0.000869164,0,3.368704,0
713397.7,9558727,40.722969,0.007489865,0.010360801,0.654416422,2.566869,0
713397.7,9560457,22.54081,0.019780077,0.005414405,0.058095033,3.932981,0
713391.4,9558448,43.745552,0.014163036,-0.003088658,0.73625785,2.649874,1
713388.3,9558740,47.058273,-0.053671163,-0.009104878,0.647061895,2.995526,1
713387.7,9559297,34.635151,0.006177048,0.005872405,0.749248713,2.574413,0
713387.7,9559237,23.421721,-0.207157418,-0.010476773,0.682764871,4.354248,0
713387.7,9558897,22.239298,0.01242902,-0.000218087,0.743866736,2.755377,0
713377.7,9558807,37.760826,0.00625784,0.010845633,0.733291445,2.72335,0
713377.7,9559867,48.02636,0.022291267,0.00011076,0.345189405,3.88496,0
713377.7,9559437,22.196743,0.097160786,0.011304976,0.762963911,2.266253,0
713371.1,9558146,23.664545,0.110307194,0.037145566,0.988321362,2.094436,1
713367.7,9558497,20.691887,-0.04322603,-0.111368679,0.676203744,4.75476,0
713367.7,9558417,44.759212,-0.005774208,-0.01976425,0.732604169,3.553268,0
713367.7,9558467,35.866547,0.004070365,-0.027505569,0.695610867,2.999522,0
